2022-02,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,31*,1,2,3,4,5,6,
ATLAS-MUON-PHASE2,1.50,4.50,1.00,0,0,0,0,Firmware; PDR; PDR Pretalk
CMS-ETL,3.50,0,5.00,1.00,1.00,0,0,Followup work; Integration meeting; Meeting; Meeting + followup; Mockup orders; Mockup with students
APOLLO,0,1.50,0,1.50,0,0,0,Adam; IPMC updates; MPI CM Meeting
CMS-EMU-OPS-GE11,0,1.00,2.50,2.00,2.00,0,0,DDR Firmware; Firmware update; VFAT Taskforce
CMS-EMU-UPGRADE-GE21,0,0,1.00,2.00,2.00,0,0,DDR Firmware; Phase2 Meeting; VFAT Taskforce
CMS-EMU-UPGRADE-ME0,0,0,1.50,1.00,0,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,0,0,1.00,0,0,Meeting
,7,8,9,10,11,12,13,
ATLAS-MUON-PHASE2,0,0,0,0.50,2.50,0,0,DAQ Integration; Meet with Eric
APOLLO,0,0,2.00,1.00,0,0,0,IPMC Meeting; Networking issues / IPMC
CMS-EMU-OPS-GE11,0,0,0,1.50,1.00,0,0,Firmware; Firmware (4 Gbps)
CMS-EMU-UPGRADE-GE21,0,0,1.00,0,0.50,0,0,Firmware; Firmware (DDR)
CMS-ETL,4.00,5.00,1.00,0.50,0,0,0,Meet with Daniel; Meeting; Mockup
CMS-EMU-UPGRADE-ME0,1.00,1.00,0,1.00,0,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,0.50,0,0,0,0,Meeting (BU)
ADMIN,2.00,0,0,0,2.00,0,0,EDF Meeting; EDF Meeting + Lunch; Email
CMS-EMU-OPS-CSC,0,2.00,0,3.50,0,0,0,Meet with Eric; ODMB Integration; ODMB Meeting; ODMB Review
SICK,0,0,4.00,0,0,0,0,Muscle spasm
,14,15,16,17,18,19,20,
ATLAS-MUON-PHASE2,0,0,0,1.00,0,0,0,EE Meeting
CMS-EMU-OPS-GE11,0,0,1.00,0.50,0,0,0,Firmware; Firmware (DDR)
CMS-EMU-UPGRADE-GE21,0,0,1.00,0.50,0,0,0,Firmware; Firmware (DDR)
CMS-ETL,0,0,2.00,4.50,3.00,0,0,ETROC Firmware; Meeting; Meeting (BU); Meeting (Integration); Spec doc
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,1.00,0,0,Chloe; Meeting
ADMIN,0,0,4.00,0,0,0,0,EDF Meeting
VAC,8.00,8.00,0,0,0,0,0,Vacation
,21,22,23,24,25,26,27,
ATLAS-MUON-PHASE2,0,1.00,0,1.00,0,0,0,Hog meeting; Meeting
APOLLO,0,0,4.00,2.00,5.00,0,0,IPMC; IPMC documentation; IPMC meeting; IPMC work
CMS-EMU-OPS-GE11,0,0.50,1.00,1.00,0,0,0,Clustering investigation; S-bit DAQ
CMS-EMU-UPGRADE-GE21,0,1.50,1.00,1.00,0,0,0,Clustering investigation; S-bit DAQ
CMS-ETL,2.50,0.50,0,1.00,0,0,0,Email; Meeting; Pemnuts; Spec doc
CMS-EMU-UPGRADE-ME0,0,2.00,1.00,1.00,0,0,0,Firmware chat; Firmware meeting; S-bit DAQ
ADMIN,0,1.00,1.00,0,1.00,0,0,EDF chat; EDF meeting; Meet with Ed
CMS-EMU-OPS-CSC,0,0,0,1.00,0,0,0,ODMB meeting
HOLIDAY,8.00,0,0,0,0,0,0,Presidents Day
,28,1*,2*,3*,4*,5*,6*,
ATLAS-MUON-PHASE2,1.00,0,0,1.00,0,0,0,Meeting
APOLLO,4.50,0,0.50,0,0,0,0,Board meeting; Chat with Dan; IPMC Testing; Tejasava
CMS-EMU-UPGRADE-ME0,1.00,1.00,0.50,2.00,1.00,0,0,Chloe; DPG Meeting; Firmware; Firmware (new sorter); Meeting; Segment finding slides
ADMIN,1.00,1.00,0,0,1.00,0,0,Chat with Dan; Meet with Eric
CMS-ETL,0,3.00,3.50,1.00,2.00,0,0,Firmware update; Group Meeting; MT specifications; Meet with Daniel; Meet with Indara; Meeting with Sergey; Test stand
CMS-EMU-UPGRADE-GE21,0,1.00,1.50,3.50,0,0,0,Firmware; Firmware (new sorter); Meeting
CMS-EMU-OPS-GE11,0,1.00,2.50,1.00,0,0,0,Firmware; Firmware (new sorter)
VAC,0,0,0,0,2.00,0,0,Katherine

