Project Date     Hours Prcnt  Cost
APOLLO  2021-01  21.50 15.1%  $1913.50
APOLLO  2021-02  28.00 24.1%  $2492.00
APOLLO  2021-03  27.00 17.2%  $2403.00
APOLLO  2021-04  23.50 14.2%  $2091.50
APOLLO  2021-05  32.50 20.3%  $2892.50
APOLLO  2021-06  72.50 39.4%  $6452.50
APOLLO  2021-07  41.50 23.8%  $3693.50
APOLLO  2021-08  14.50  8.8%  $1290.50
APOLLO  2021-09  27.00 16.0%  $2403.00
APOLLO  2021-10  12.00  7.5%  $1068.00
APOLLO  2021-11   8.00  4.8%  $712.00
APOLLO  2021-12   4.00  2.2%  $356.00
APOLLO  2022-01   3.00  2.0%  $267.00
APOLLO  2022-02  23.00 15.1%  $2047.00
APOLLO  2022-03  31.00 18.5%  $2759.00
APOLLO  2022-04   2.50  1.6%  $222.50
APOLLO  2022-05   4.00  2.9%  $356.00
APOLLO  2022-06  11.75  7.8%  $1045.75
APOLLO  2022-07   1.00  0.7%  $89.00
APOLLO  2022-08   2.00  1.8%  $178.00
APOLLO  2022-09   4.00  3.1%  $356.00
APOLLO  2022-10   5.00  3.6%  $445.00
APOLLO  2022-11   5.50  4.0%  $489.50
APOLLO  2023-02   1.00  1.2%  $89.00
ETC     2021-01  25.00 17.5%  $2225.00
ETC     2021-02  17.50 15.1%  $1557.50
ETC     2021-03  26.00 16.6%  $2314.00
ETC     2021-04  48.00 29.1%  $4272.00
ETC     2021-05  25.50 15.9%  $2269.50
ETC     2021-06  12.00  6.5%  $1068.00
ETC     2021-07  45.00 25.8%  $4005.00
ETC     2021-08  10.00  6.1%  $890.00
ETC     2021-09  30.50 18.1%  $2714.50
ETC     2021-10  56.50 35.2%  $5028.50
ETC     2021-11  44.00 26.7%  $3916.00
ETC     2021-12  82.00 45.8%  $7298.00
ETC     2022-01  35.50 23.8%  $3159.50
ETC     2022-02  40.00 26.3%  $3560.00
ETC     2022-03  21.00 12.5%  $1869.00
ETC     2022-04  71.50 46.9%  $6363.50
ETC     2022-05  54.50 39.4%  $4850.50
ETC     2022-06  24.00 15.8%  $2136.00
ETC     2022-07  72.50 48.2%  $6452.50
ETC     2022-08  16.00 14.5%  $1424.00
ETC     2022-09  35.50 27.3%  $3159.50
ETC     2022-10  42.00 30.4%  $3738.00
ETC     2022-11  46.00 33.7%  $4094.00
ETC     2022-12  59.00 46.5%  $5251.00
ETC     2023-01  25.50 21.4%  $2269.50
ETC     2023-02  13.00 15.7%  $1157.00
ETL     2021-01  59.50 41.8%  $5295.50
ETL     2021-02  19.00 16.4%  $1691.00
ETL     2021-03  12.50  8.0%  $1112.50
ETL     2021-04  17.50 10.6%  $1557.50
ETL     2021-05  19.00 11.9%  $1691.00
ETL     2021-06  18.50 10.1%  $1646.50
ETL     2021-07  33.50 19.2%  $2981.50
ETL     2021-08  59.00 36.0%  $5251.00
ETL     2021-09  39.25 23.3%  $3493.25
ETL     2021-10  24.00 15.0%  $2136.00
ETL     2021-11  25.00 15.2%  $2225.00
ETL     2021-12   6.50  3.6%  $578.50
ETL     2022-01  16.00 10.7%  $1424.00
ETL     2022-02  32.00 21.1%  $2848.00
ETL     2022-03  45.00 26.9%  $4005.00
