D,Time,Project,Task,,Hours
,,,,,
4,9-5,VACATION,Christmas,MON,8.0
,,,,,
5,10-10:30,ADMIN,Email catchup,TUE,0.5
5,10:30-11:30,ADMIN,Billing,TUE,1.0
5,11:30-12,ADMIN,Timesheet,TUE,0.5
5,12-4,SICK,Pain,TUE,4.0
,,,,,
6,9-10,Tracker,Meeting,WED,1.0
6,10-10:30,--,Emphatic,WED,0.5
6,11:30-12:30,ETL,Firmware,WED,1.0
6,10:30-11:30,DEVEL,VHDL-LS,WED,1.0
6,12:30-1,L0MDT,Hog,WED,0.5
6,1-1:30,ETL,Firmware (Ipbus),WED,0.5
6,1:30-2:30,L0MDT,Hog,WED,1.0
6,3-5,ETL,Firmware (Ipbus),WED,2.0
,,,,,
7,10-11:30,Tracker,TCLink,THU,1.5
7,12:30-1,Tracker,TCLink,THU,0.5
7,1-2,ETL,PCB Received,THU,1.0
7,2-2:30,L0MDT,Regmap call with Guillermo,THU,0.5
7,3-6,ETL,Ethernet firmware,THU,3.0
,,,,,
8,9-10,Tracker,Meeting,FRI,1.0
8,1-2,ETL,Firmware,FRI,1.0
8,2-3,ME0,Meeting,FRI,1.0
8,3-4,Tracker,,FRI,1.0
8,4-4:30,ETL,Firmware,FRI,0.5
,,,,,
,,,,,
11,11-12,L0MDT,Meeting + emails,MON,1.0
11,12-1:30,ETL,PCBs + emails,MON,1.5
11,2-3,L0MDT,BU Meeting,MON,1.0
11,3-4:30,ETL,Firmware,MON,1.5
,,,,,
12,10:30-11,L0MDT,Hog documentation,TUE,0.5
12,11-12,Tracker,Meet with Dan,TUE,1.0
12,12-12:30,ETL,PCB Version Control,TUE,0.5
12,2-3:30,ETL,Meeting + emails,TUE,1.5
12,1:30-2,ME0,Repo configuration,TUE,0.5
12,4-6,ETL,Firmware,TUE,2.0
,,,,,
13,9-10,Tracker,Meeting,WED,1.0
13,10-11,GE21,Repo config,WED,1.0
13,1-1:30,ETL,Soldering,WED,0.5
13,1:30-2,GE21,Repo config,WED,0.5
13,2-2:30,ETL,Meet with Chris,WED,0.5
13,3:30-4:30,GE21,Repo config,WED,1.0
13,4:30-6,ETL,Firmware,WED,1.5
,,,,,
14,9:30-10,ETL,Firmware,THU,0.5
14,10-11,L0MDT,Meeting,THU,1.0
14,11-12,ETL,Firmware,THU,1.0
