C19,D,Time,Project,Task,,Hours
,,,,,,
,1,8:30-9:30,ETL,Slides for Ted,MON,1.0
,1,9:30-10:30,L0MDT,Cocotb,,1.0
,1,10:30-12,ETL,Meeting,MON,1.5
,1,12-1,Tracker,IPMC work,MON,1.0
,1,1:30-2,ME0,Segment finding,MON,0.5
,1,2-2:30,L0MDT,Meeting with John,MON,0.5
,1,5-6,L0MDT,Cocotb,MON,1.0
,1,6-6:30,GE21,Cocotb,MON,0.5
,1,6:30-8,L0MDT,Cocotb,MON,1.5
,,,,,,
,2,8:30-9:30,GE11,Cocotb,TUE,1.0
,2,9:30-10:30,L0MDT,Cocotb,TUE,1.0
,2,11-4,Tracker,IPMC,FRI,5.0
,,,,,,
,3,9-10:30,Tracker,Meeting,WED,1.5
,3,11-12,L0MDT,Chat with Guillermo,WED,1.0
,3,12-1:30,L0MDT,CSM Setup,WED,1.5
,3,1:30-2,EMPHATIC,Chat with Eric,WED,0.5
,3,2-4,L0MDT,Slides,WED,2.0
,3,4-5,ETL,Meeting,WED,1.0
,3,5-7,ME0,Chat with Chloe,WED,2.0
,3,8:30-9,EMPHATIC,Code review,WED,0.5
,,,,,,
,4,9-11:30,L0MDT,Meeting,THU,2.5
,4,11:30-12,EMPHATIC,Code review,THU,0.5
,4,3-4,ME0,Chat with Evaldas,THU,1.0
,4,4-5,GE21,Chat with Evaldas,THU,1.0
,4,5-6,GE11,Chat with Evaldas,THU,1.0
,,,,,,
,5,10:30-11:30,Tracker,IPMC,FRI,1.0
,5,12:30-2:30,EMPHATIC,Firmware review + Meeting,FRI,2.0
,5,2:30-4,ME0,Meeting,FRI,1.5
,5,6-7,GE11,Testbench,FRI,1.0
,5,7-8,L0MDT,Cocotb,FRI,1.0
,5,8-8:30,GE11,Firmware testing,FRI,0.5
,5,8:30-10,GE21,Firmware testing,FRI,1.5
,,,,,,
,,,,,,
,8,9-5,VACATION,,MON,8.0
,,,,,,
,9,9-5,VACATION,,TUE,8.0
,,,,,,
,10,9-10:30,Tracker,Meeting,WED,1.5
,10,10:30-11,--,Email Catchup,WED,0.5
,10,11-12,EMPHATIC,Meeting,WED,1.0
,10,12-1,--,EDF Lunch,WED,1.0
,10,1-1:30,Tracker,IPMC,WED,0.5
,10,1:30-3:30,SICK,Chiropractor,WED,2.0
,10,3:30-4,Tracker,USB Boot/chat with Dan,WED,0.5
,10,4:30-5,ETL,Chat with Daniel,WED,0.5
,10,5-6:00,ME0,Hog testing,WED,1.0
,,,,,,
,11,9-11,L0MDT,Meeting,THU,2.0
,11,11-12,GE21,Cluster building,THU,1.0
,11,12-12:30,GE11,Cluster building,THU,0.5
,11,1-1:30,ETL,Skype interrupts,THU,0.5
,11,1:30-4,SICK,Chiropractor,THU,2.5
,,,,,,
,12,9-10,Tracker,TIF Meeting,FRI,1.0
,12,11-11:30,Tracker,IPMC Development,FRI,0.5
,12,11:30-12:30,--,Lunch,FRI,1.0
,12,12:30-1,Tracker,IPMC,FRI,0.5
,12,1-2,ETL,LPGBT issues :(,FRI,1.0
,12,2-3,ME0,Meeting,FRI,1.0
,12,3-4,Tracker,IPMC / YAML chat with Dan,FRI,1.0
,12,4-5,ETL,"LPGBT issues, fusing & board repair",FRI,1.0
,,,,,,
,,,,,,
,15,10-11,EMPHATIC,Readout discussion with Eric,MON,1.0
,15,11-11:30,L0MDT,YAML slaves firmware,MON,0.5
