D,Time,Project,Task,,Hours
1,12-2,ETL,Ethernet mac,MON,2.0
1,2-3,L0MDT,Bu Meeting,MON,1.0
1,3-4,Tracker,Meeting with Tom etc,MON,1.0
1,4-6,ETL,Ethernet mac,MON,2.0
,,,,,
2,9-11,ETL,Firmware; purchasing,TUE,2.0
2,11-12,L0MDT,Purchase Fibers,TUE,1.0
2,12-12:30,--,Chat with Eric,TUE,0.5
2,12:30-2:30,ETL,PCB Orders; Firmware; Digikey,TUE,2.0
2,4-5,Tracker,IPMC,TUE,1.0
,,,,,
3,9-10,Tracker,Meeting,WED,1.0
3,11-4,Tracker,IPMC,WED,5.0
,,,,,
4,1-1:30,GE21,Accruals,THU,0.5
4,1:30-2,ME0,Accruals,THU,0.5
,,,,,
5,9-11,Tracker,DAQ Meeting,FRI,2.0
5,2-3,ME0OH,Meeting w/ UCLA,FRI,1.0
5,3-4:30,ETL,Meet w/ Chris,FRI,1.5
5,1-2,GE11,Firmware,FRI,1.0
5,4:30-6,GE11,Firwmare,FRI,1.5
,,,,,
,,,,,
8,9:30-10:30,--,ADMIN,MON,1.0
8,10:30-12,--,Billing,MON,1.5
8,2-3,L0MDT,Meeting,MON,1.0
,,,,,
9,12-4,ETL,Firmware updates; testing of trigger,TUE,4.0
,,,,,
10,9-10,Tracker,Meeting,WED,1.0
10,10-11,Tracker,IPMC,WED,1.0
10,12-1,L0MDT,Tube mapping meeting,WED,1.0
10,5-5:30,ME0OH,UCLA meeting,WED,0.5
10,5:30-6:30,Tracker,IPMC,WED,1.0
,,,,,
11,9-11,L0MDT,Meeting,THU,2.0
11,10:30-11:30,GE21,Meeting,THU,1.0
11,2-3,ETL,Meeting,THU,1.0
,,,,,
12,9-10,Tracker,Meeting,FRI,1.0
12,10-11,Tracker,IPMC,FRI,1.0
12,2-3,ME0OH,Meeting,FRI,1.0
12,12-2,--,EDF LUNCH,FRI,2.0
,,,,,
,,,,,
15,9-5,HOLIDAY,,MON,8.0
,,,,,
16,9-11,L0MDT,Soc Meeting,TUE,2.0
16,12:30-1:30,ETL,Reading proposal document,TUE,1.0
16,3:30-4,ETL,Meet w/ Daniel & Chris,TUE,0.5
,,,,,
17,9-10:30,Tracker,Meet w/ Zeynep,WED,1.5
17,12-3,Tracker,IPMC,WED,3.0
17,3-4,GE11,Laurent & Evaldas,WED,1.0
17,4-4:30,GE21,Laurent & Evaldas,WED,0.5
17,4:30-5:30,ME0BE,Firmware,WED,1.0
,,,,,
18,10-11,L0MDT,EE Meeting,THU,1.0
18,9:30-10,Tracker,IPMC,THU,0.5
18,9-9:30,ME0SF,Segment finding slides,THU,0.5
18,11-1,L0MDT,Slides (axi clock domain),THU,2.0
18,1-2,ETL,Software discussion,THU,1.0
18,3-3:30,GE11,Laurent & Evaldas,THU,0.5
18,4-4:30,ETL,Software,THU,0.5
18,4:30-5,ME0BE,Firmware,THU,0.5
,,,,,
19,9:30-10,L0MDT,Emails to Markus and Xueye,FRI,0.5
19,10-1,L0MDT,Monitoring/Yaml/Tcl,FRI,3.0
19,1-2,L0MDT,AXI Control,FRI,1.0
19,2-3,ME0OH,UCLA Meeting,FRI,1.0
19,3-4,L0MDT,Chat w/ Dan,FRI,1.0
19,4-7,L0MDT,AXI,FRI,3.0
19,8-8:30,L0MDT,AXI,FRI,0.5
,,,,,
,,,,,
22,10-11:30,L0MDT,Yaml BD,MON,1.5
22,11:30-1,L0MDT,Chat w/ Eric,MON,1.5
22,1-7,L0MDT,Yaml BD,MON,6.0
,,,,,
23,11-12,L0MDT,HOG Meeting,TUE,1.0
23,12-1,L0MDT,Slides,TUE,1.0
23,1-2,L0MDT,Slides,TUE,1.0
23,2-5,SICK,Chiropractor,TUE,3.0
,,,,,
24,9-10:30,Tracker,Meeting,WED,1.5
24,10:30-5,SICK,Back problems :(,WED,6.5
,,,,,
25,9-11:30,L0MDT,Firmware build,THU,2.5
25,12-3,L0MDT,Firmware build,THU,3.0
25,3-4,Tracker,IPMC,THU,1.0
,,,,,
26,9-11:30,Tracker,Meeting; IPMC,FRI,2.5
26,11:30-2,--,LUNCH,FRI,2.5
26,2-5,Tracker,IPMC,FRI,3.0
26,5-6,ETL,Meet w/ Daniel + Chris,FRI,1.0
26,4-5,ME0OH,UCLA meeting,FRI,1.0
,,,,,
28,11:30-12:00,GE21,Accruals,SUN,0.5
28,12:00-12:30,ME0,Accruals,SUN,0.5
28,12:30-1,ETL,Slides,SUN,0.5

