Date      GE11     GE21     ETC      CMS-PIXEL-DTC   ME0      L0MDT    OTHER    ETL      APOLLO
2021/01   2.500    5.000    25.000   0.000           8.000    21.000   0.000    59.500   21.500
2021/02   4.000    2.500    17.500   0.000           7.500    37.500   0.000    19.000   28.000
2021/03   9.000    9.500    26.000   0.000           12.500   53.500   7.000    12.500   27.000
2021/04   1.000    1.500    48.000   0.000           33.000   35.000   5.500    17.500   23.500
2021/05   3.000    10.500   25.500   0.000           24.500   37.500   7.500    19.000   32.500
2021/06   12.500   13.500   12.000   0.000           6.500    24.500   24.000   18.500   72.500
2021/07   8.000    3.000    45.000   0.000           18.000   16.000   9.500    33.500   41.500
2021/08   6.500    9.500    10.000   0.000           18.000   45.000   1.500    59.000   14.500
2021/09   6.000    5.000    30.500   0.000           34.000   25.000   2.000    39.250   27.000
2021/10   0.500    4.000    56.500   0.000           15.500   48.000   0.000    24.000   12.000
2021/11   7.000    2.500    44.000   0.000           17.500   58.000   3.000    25.000   8.000
2021/12   11.000   18.000   82.000   0.000           5.500    52.000   0.000    6.500    4.000
2022/01   6.000    3.000    35.500   0.000           8.000    70.000   7.500    16.000   3.000
2022/02   14.000   11.500   40.000   0.000           12.500   12.500   6.500    32.000   23.000
2022/03   16.500   17.500   21.000   0.000           9.500    19.500   7.500    45.000   31.000
2022/04   1.000    1.000    71.500   0.000           8.000    21.000   1.000    46.500   2.500
2022/05   3.000    3.000    54.500   0.000           13.000   26.500   0.500    34.000   4.000
2022/06   8.000    6.500    24.000   0.000           13.500   18.500   0.000    69.250   11.750
2022/07   0.000    0.500    72.500   0.000           16.000   4.500    0.000    56.000   1.000
2022/08   5.000    15.500   16.000   0.000           18.000   4.500    11.000   38.500   2.000
2022/09   4.000    5.000    35.500   0.000           16.500   10.000   0.000    55.000   4.000
2022/10   6.500    7.500    42.000   0.000           9.500    4.000    4.500    59.000   5.000
2022/11   2.000    5.000    46.000   0.000           13.000   1.500    0.000    63.500   5.500
2022/12   12.000   15.500   59.000   0.000           16.500   3.500    0.000    20.500   0.000
2023/01   10.500   10.000   25.500   0.000           9.500    7.000    4.000    52.500   0.000
2023/02   1.000    7.000    13.000   0.000           24.500   4.000    1.500    43.500   1.000
2023/03   5.000    5.000    8.250    0.000           45.250   0.500    10.000   39.500   1.000
2023/04   0.000    1.000    38.500   0.500           24.250   5.000    4.500    18.250   0.000
2023/05   0.000    3.500    26.500   0.500           23.000   2.000    13.000   46.500   0.000
2023/06   0.000    4.000    0.000    0.000           8.000    0.000    0.000    2.000    0.000
