Date      Total
2021/01   142.500
2021/02   116.000
2021/03   157.000
2021/04   165.000
2021/05   160.000
2021/06   184.000
2021/07   174.500
2021/08   164.000
2021/09   168.750
2021/10   160.500
2021/11   165.000
2021/12   179.000
2022/01   149.000
2022/02   152.000
2022/03   167.500
2022/04   152.500
2022/05   138.500
2022/06   151.500
2022/07   150.500
2022/08   110.500
2022/09   130.000
2022/10   138.000
2022/11   136.500
2022/12   127.000
2023/01   119.000
2023/02   95.500
2023/03   34.500
